sample_definition,log_mstar_lo,log_mstar_hi,window_center,window_width,n,all_internal_marginal_r2,gas_mass_marginal_r2,dominant_internal_feature,dominant_candidate_feature,gas_mass_rank,gas_leave_one_out_r2_drop,gas_fraction_rank,sfr_rank
full_sample,9.55,10.1,9.825,0.5499999999999989,2135,0.12668364432111315,0.07051637193589749,int_log_mgas,int_log_gas_fraction,1,0.05441533302866555,1,3
full_sample,9.55,10.2,9.875,0.6499999999999986,2431,0.131902350560921,0.0705620773642727,int_log_mgas,int_log_gas_fraction,1,0.04742227803776805,1,4
full_sample,9.55,10.3,9.925,0.75,2677,0.13217174229769618,0.06505721544268761,int_log_mgas,int_log_gas_fraction,1,0.03864269646911586,1,3
full_sample,9.55,10.4,9.975000000000001,0.8499999999999996,2922,0.14239313129117923,0.06311984006098467,int_log_mgas,int_log_gas_fraction,1,0.03174198081512242,1,2
full_sample,9.55,10.5,10.025,0.9499999999999993,3188,0.14125098186864862,0.053145613493194244,int_log_mgas,int_log_gas_fraction,1,0.025887664661037202,1,2
full_sample,9.55,10.55,10.05,1.0,3336,0.13955681401776682,0.049607372068271205,int_log_mgas,int_log_gas_fraction,1,0.02050898957362901,1,3
full_sample,9.55,10.6,10.075,1.049999999999999,3469,0.14219141587029796,0.04107732406343481,int_log_mgas,int_log_gas_fraction,1,0.016980781515319843,1,2
full_sample,9.55,10.7,10.125,1.1499999999999986,3657,0.14416417018989813,0.03461462210234967,int_log_mgas,int_log_gas_fraction,1,0.011230216223439171,1,3
full_sample,9.55,10.75,10.15,1.1999999999999993,3754,0.14253843714246273,0.032669093953785755,int_log_mgas,int_log_gas_fraction,1,0.010706624476098048,1,3
full_sample,9.55,10.8,10.175,1.25,3834,0.14159391359246432,0.03095098637534635,int_log_mgas,int_log_gas_fraction,1,0.007767109296910546,1,5
full_sample,9.55,10.9,10.225000000000001,1.3499999999999996,3947,0.13934114223926317,0.028806523253456673,int_log_mstar,int_log_gas_fraction,2,0.007915885842565473,1,4
full_sample,9.55,11.0,10.275,1.4499999999999993,4023,0.13817934447028474,0.02862698783179493,int_log_mstar,int_log_gas_fraction,2,0.00812291302669621,1,4
full_sample,9.6,10.0,9.8,0.40000000000000036,1555,0.1081377631328028,0.07944315377445202,int_log_mgas,int_log_gas_fraction,1,0.06435259544966895,1,4
full_sample,9.6,10.1,9.85,0.5,1906,0.1318652854384322,0.08318301598370123,int_log_mgas,int_log_gas_fraction,1,0.06092549519739157,1,3
full_sample,9.6,10.2,9.899999999999999,0.5999999999999996,2202,0.13532038234783691,0.07721343095177877,int_log_mgas,int_log_gas_fraction,1,0.04834363801912722,1,2
full_sample,9.6,10.3,9.95,0.7000000000000011,2448,0.13656516751647044,0.07342448755976788,int_log_mgas,int_log_gas_fraction,1,0.04187070470593382,1,2
full_sample,9.6,10.4,10.0,0.8000000000000007,2693,0.14574457085860681,0.06851681246902791,int_log_mgas,int_log_gas_fraction,1,0.034373971929982816,1,2
full_sample,9.6,10.5,10.05,0.9000000000000004,2959,0.14495410837769904,0.057320431103461855,int_log_mgas,int_log_gas_fraction,1,0.024140925414075143,1,3
full_sample,9.6,10.55,10.075,0.9500000000000011,3107,0.14435511815907093,0.052607555426983144,int_log_mgas,int_log_gas_fraction,1,0.02158001225014894,1,2
full_sample,9.6,10.6,10.1,1.0,3240,0.14969984837154954,0.04379113269044599,int_log_mgas,int_log_gas_fraction,1,0.018853876549838555,1,2
