suite,quantity,log_mstar_lo,log_mstar_hi,log_mstar_center,n,p16,median,p84
SIMBA,log_ssfr,11.100000000000005,11.250000000000005,11.175000000000004,76,-15.0,-10.849470138549805,-10.145036697387695
SIMBA,log_gas_fraction,11.250000000000005,11.400000000000006,11.325000000000006,38,-0.25172832489013675,0.035022735595703125,0.3826737594604491
SIMBA,log_ssfr,11.250000000000005,11.400000000000006,11.325000000000006,38,-15.0,-11.693500518798828,-10.156781120300293
SIMBA,log_gas_fraction,11.400000000000006,11.550000000000006,11.475000000000005,27,-0.3759579086303711,0.10951042175292969,0.4659573745727539
SIMBA,log_ssfr,11.400000000000006,11.550000000000006,11.475000000000005,27,-15.0,-13.180371284484863,-10.685821914672852
SIMBA,log_gas_fraction,11.550000000000006,11.700000000000006,11.625000000000007,17,0.1606014633178711,0.5672664642333984,0.677570571899414
SIMBA,log_ssfr,11.550000000000006,11.700000000000006,11.625000000000007,17,-15.0,-15.0,-10.54898006439209
SIMBA,log_gas_fraction,11.700000000000006,11.850000000000007,11.775000000000006,6,0.19166507720947268,0.4044804573059082,0.6084373474121094
SIMBA,log_ssfr,11.700000000000006,11.850000000000007,11.775000000000006,6,-15.0,-13.502412796020508,-10.812529563903809
SIMBA,log_gas_fraction,11.850000000000007,12.000000000000007,11.925000000000008,6,0.6356073379516601,0.7444243431091309,0.9903419494628907
SIMBA,log_ssfr,11.850000000000007,12.000000000000007,11.925000000000008,6,-15.0,-14.26301383972168,-12.543122482299804
SIMBA,log_gas_fraction,12.000000000000007,12.150000000000007,12.075000000000006,4,0.6843891143798828,0.7230424880981445,0.7484976959228515
SIMBA,log_ssfr,12.000000000000007,12.150000000000007,12.075000000000006,4,-14.320882873535156,-12.370384216308594,-10.680565452575683
SIMBA,log_gas_fraction,12.150000000000007,12.300000000000008,12.225000000000009,0,,,
SIMBA,log_ssfr,12.150000000000007,12.300000000000008,12.225000000000009,0,,,
