variant,region,n,contrast,baseline_r2,plus_r2,marginal_r2,marginal_ci_lo,marginal_ci_hi
sf_only,high,251,sfr|L3,0.061532436860717146,0.0627587183678906,0.0012262815071734517,-0.03940843232839038,0.07114951274700597
sf_only,high,251,tdep|L3,0.061532436860717146,0.06432783530850676,0.0027953984477896154,-0.039294912225743675,0.03919028227156132
sf_only,high,251,gas|L3+mstar,0.06693399102856452,0.0645254385787331,-0.0024085524498314304,-0.030270728349564947,0.02094207890892289
sf_only,high,251,sfr|L3+mstar,0.06693399102856452,0.06739521163991158,0.0004612206113470546,-0.02563605446110987,0.035614968790102765
sf_only,high,251,tdep|L3+mstar,0.06693399102856452,0.06911996892564176,0.0021859778970772376,-0.025573818498109566,0.049025655848773525
sf_only,high,251,gas|L3+mstar+tdep,0.06911996892564176,0.06839120958249693,-0.0007287593431448275,-0.02985977854692105,0.03521267152037095
sf_only,high,251,tdep|L3+mstar+gas,0.0645254385787331,0.06839120958249685,0.003865771003763757,-0.026691418865083107,0.04592445328272108
sf_only,high,251,model:L3,,0.061532436860717146,,,
sf_only,high,251,model:L3+gas,,0.058799248291503625,,,
sf_only,high,251,model:L3+sfr,,0.0627587183678906,,,
sf_only,high,251,model:L3+tdep,,0.06432783530850676,,,
sf_only,high,251,model:L3+gas+tdep,,0.06298854403225096,,,
